Admin,Merchants,Add Merchant,Month,Year,Dashboard,Total,Type,Name,Settings,Devs Section,Ux/Ui Section,Devs Total,Ux/Ui Total,Created
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Ux/Ui,Merchant Report (2021-08-05),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-05
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Devs,Merchant Report (2021-08-05),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-05
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Ux/Ui,Merchant Report (2021-08-06),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-06
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Devs,Merchant Report (2021-08-06),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-06
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Devs,Merchant Report (2021-08-13),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-13
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Ux/Ui,Merchant Report (2021-08-13),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-13
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Devs,Merchant Report (2021-08-20),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-20
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Ux/Ui,Merchant Report (2021-08-20),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-20
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Devs,Merchant Report (2021-08-27),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-27
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,August,2021,0,0,Ux/Ui,Merchant Report (2021-08-27),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-08-27
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,September,2021,0,0,Devs,Merchant Report (2021-09-03),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-09-03
"[""recrhthEOnXXLQtEP"",""recKJ4w5RDXNozSmt"",""recDj1hqu8k0HDmSJ"",""recrRE5VRBLf0anlG"",""recyjUP6Syd0wZ8ua"",""rec8M9NBvGZSYAJ25"",""recZwdya6ZDSjsmk3"",""reckZQqSURJ5zepRB""]",0,0,September,2021,0,0,Ux/Ui,Merchant Report (2021-09-03),0,"[0.5,0.5,0.389875,0.2986666666666667]","[1,1,1,1]","[0.025,0.125,0.1949375,0.05973333333333334]","[0.08333333333333333,0.20833333333333334,0.4166666666666667,0.2916666666666667]",2021-09-03
